state,total,place,race,religion,sexual_orientation,ethnicity,disability,gender,gender_identity
Alabama,Total,,7,1,0,1,0,0,0
,Cities,,7,1,0,1,0,0,0
,,Fairfield,1,0,0,0,0,0,0
,,Hoover,0,1,0,1,0,0,0
,,Prattville,4,0,0,0,0,0,0
,,Sylacauga,2,0,0,0,0,0,0
Alaska,Total,,5,0,1,0,0,0,0
,Cities,,5,0,1,0,0,0,0
,,Anchorage,5,0,1,0,0,0,0
Arizona,Total,,124,38,55,44,4,0,0
,Cities,,117,35,47,44,3,0,0
,,Apache Junction,0,0,0,1,0,0,0
,,Avondale,1,1,0,1,0,0,0
,,Chandler,1,0,0,0,0,0,0
,,Cottonwood,1,0,0,0,0,0,0
,,El Mirage,1,0,0,0,0,0,0
,,Flagstaff,0,0,1,0,0,0,0
,,Gilbert,2,0,0,0,0,0,0
,,Glendale,4,2,2,1,0,0,0
,,Goodyear,1,0,0,0,0,0,0
,,Kingman,0,1,1,0,0,0,0
,,Mesa,4,1,3,2,0,0,0
,,Oro Valley,0,1,0,0,0,0,0
,,Phoenix,91,19,35,35,3,0,0
,,Scottsdale,2,1,1,1,0,0,0
,,Tempe,1,1,0,0,0,0,0
,,Tucson,4,2,3,0,0,0,0
,,Yuma,4,6,1,3,0,0,0
,Universities and Colleges,,2,1,7,0,0,0,0
,,Northern Arizona University,2,1,7,0,0,0,0
,Metropolitan Counties,,5,2,1,0,1,0,0
,,Maricopa,3,0,1,0,0,0,0
,,Pinal,0,1,0,0,0,0,0
,,Yavapai,1,0,0,0,0,0,0
,,Yuma,1,1,0,0,1,0,0
Arkansas,Total,,5,1,1,1,0,0,0
,Cities,,3,1,1,0,0,0,0
,,Fort Smith,3,0,1,0,0,0,0
,,Rogers,0,1,0,0,0,0,0
,Universities and Colleges,,1,0,0,0,0,0,0
,,"University of Arkansas, Fayetteville",1,0,0,0,0,0,0
,Metropolitan Counties,,1,0,0,0,0,0,0
,,Pulaski,1,0,0,0,0,0,0
,Nonmetropolitan Counties,,0,0,0,1,0,0,0
,,Baxter,0,0,0,1,0,0,0
California,Total,,305,128,187,111,4,2,22
,Cities,,247,116,143,91,4,1,21
,,Adelanto,1,0,0,1,0,0,0
,,Alameda,3,0,1,0,0,0,0
,,Alhambra,1,0,0,0,0,0,0
,,Antioch,1,0,1,1,0,0,2
,,Apple Valley,2,0,0,0,0,0,0
,,Arcata,1,0,0,0,0,0,0
,,Arvin,0,0,1,0,0,0,0
,,Azusa,0,1,0,0,0,0,0
,,Bakersfield,4,0,1,1,0,0,0
,,Barstow,1,0,0,0,0,0,0
,,Berkeley,0,2,0,1,0,0,0
,,Beverly Hills2,0,1,0,0,0,0,0
,,Brea,1,0,0,0,0,0,0
,,Brentwood,2,0,0,0,0,0,0
,,Buellton,0,1,0,0,0,0,0
,,Buena Park,0,0,1,1,0,0,0
,,Burbank,0,1,0,0,0,0,0
,,Camarillo,2,0,1,0,0,0,0
,,Carson,0,1,0,1,0,0,0
,,Central Marin,0,0,0,1,0,0,0
,,Cerritos,0,0,1,0,0,0,0
,,Chico,2,1,0,0,0,0,0
,,Chino,1,0,0,2,0,0,0
,,Chino Hills,1,0,0,0,0,0,0
,,Chula Vista,2,0,1,0,0,0,0
,,City of Angels,0,1,0,0,0,0,0
,,Claremont,0,4,0,1,0,0,0
,,Clearlake,1,0,0,0,0,0,0
,,Coalinga,1,0,0,0,0,0,0
,,Colusa,0,0,0,1,0,0,0
,,Compton,3,0,0,0,0,0,0
,,Cupertino,0,1,0,0,0,0,0
,,Daly City2,1,0,0,1,0,0,0
,,Dana Point,2,1,0,0,0,0,0
,,Davis,1,1,0,0,0,0,0
,,Dublin,2,0,0,0,0,0,0
,,El Cerrito,1,0,0,7,0,0,0
,,El Monte,4,1,0,0,0,0,0
,,Escondido,3,1,0,0,0,0,0
,,Eureka,1,0,0,0,0,0,0
,,Fairfield,0,0,0,1,0,0,0
,,Fontana,1,0,0,2,0,0,0
,,Fort Bragg,0,1,0,0,0,0,0
,,Fremont,0,1,0,0,0,0,0
,,Fresno,6,1,3,2,0,0,0
,,Fullerton,0,0,1,0,0,0,0
,,Galt,1,1,0,0,0,0,0
,,Gardena,1,0,0,0,0,0,0
,,Garden Grove,0,0,2,0,0,0,0
,,Gilroy,0,0,2,0,0,0,0
,,Glendale,0,2,0,0,0,0,0
,,Goleta,0,1,0,1,0,0,0
,,Grass Valley,0,0,0,1,0,0,0
,,Grover Beach,1,0,0,0,0,0,0
,,Hawaiian Gardens,1,0,0,0,0,0,0
,,Hayward,2,0,1,0,0,0,0
,,Healdsburg,0,1,0,0,0,0,0
,,Hemet,1,0,0,0,0,0,0
,,Hercules,1,0,0,0,0,0,0
,,Hesperia,1,0,0,0,0,0,0
,,Highland,2,0,1,0,0,0,0
,,Huntington Beach,1,1,0,1,0,0,0
,,Imperial Beach,0,1,0,0,0,0,0
,,Inglewood,0,0,1,0,0,0,0
,,Ione,1,0,0,0,0,0,0
,,Irvine,3,1,0,0,0,0,0
,,Laguna Niguel,0,1,0,0,0,0,0
