state,total,place,race,religion,sexual_orientation,ethnicity,disability
ALABAMA,Total,,6,1,2,0,0
,Cities,,6,1,2,0,0
,,Alabaster,1,0,0,0,0
,,Hoover,3,0,1,0,0
,,Jasper,1,0,0,0,0
,,Leesburg,0,0,1,0,0
,,Mobile,0,1,0,0,0
,,Ozark,1,0,0,0,0
ALASKA,Total,,7,0,2,0,0
,Cities,,7,0,2,0,0
,,Anchorage,6,0,1,0,0
,,Bethel,1,0,1,0,0
ARIZONA,Total,,85,50,41,42,1
,Cities,,69,47,38,37,0
,,Avondale,2,0,0,2,0
,,Buckeye,0,0,0,1,0
,,Bullhead City,0,0,0,1,0
,,Chandler,0,2,0,0,0
,,Coolidge,1,0,0,0,0
,,Glendale,5,2,2,2,0
,,Jerome,0,0,1,0,0
,,Lake Havasu City,1,0,0,0,0
,,Mesa,4,1,2,1,0
,,Peoria,1,0,0,0,0
,,Phoenix,36,29,24,26,0
,,Prescott Valley,1,0,0,0,0
,,Scottsdale,9,4,2,2,0
,,Show Low,0,1,1,0,0
,,Sierra Vista,1,0,0,1,0
,,Tempe,5,2,4,1,0
,,Tucson,3,6,2,0,0
,Universities and Colleges,,6,1,0,1,1
,,"Arizona State University, Main Campus",1,1,0,0,0
,,Northern Arizona University,0,0,0,0,1
,,Pima Community College,2,0,0,0,0
,,University of Arizona,3,0,0,1,0
,Metropolitan Counties,,10,2,3,4,0
,,Maricopa,4,1,0,3,0
,,Pima,1,1,2,0,0
,,Pinal,4,0,0,1,0
,,Yavapai,1,0,1,0,0
ARKANSAS,Total,,45,5,16,7,1
,Cities,,36,4,12,7,0
,,Arkadelphia,0,1,0,0,0
,,Barling,0,0,0,1,0
,,Beebe,1,0,0,0,0
,,Berryville,1,0,0,0,0
,,Bryant,1,0,1,0,0
,,Cabot,1,0,0,0,0
,,Cammack Village,1,0,0,0,0
,,Conway,2,0,0,1,0
,,Farmington,1,0,0,0,0
,,Fayetteville,0,0,1,0,0
,,Fort Smith,1,0,0,0,0
,,Greers Ferry,0,0,1,0,0
,,Harrison,1,0,0,0,0
,,Hot Springs,0,1,0,0,0
,,Jacksonville,1,0,0,0,0
,,Jonesboro,2,1,0,0,0
,,Judsonia,2,0,0,0,0
,,Magnolia,0,0,1,0,0
,,Mayflower,2,0,0,0,0
,,McGehee,1,0,0,0,0
,,Mena,0,0,0,1,0
,,North Little Rock,3,0,0,1,0
,,Paragould,0,0,2,0,0
,,Pea Ridge,1,0,0,0,0
,,Pine Bluff,4,0,2,0,0
,,Russellville,0,0,1,0,0
,,Searcy,1,0,0,1,0
,,Sherwood,6,0,2,0,0
,,Springdale,0,1,0,0,0
,,Texarkana,0,0,1,2,0
,,West Memphis,1,0,0,0,0
,,Wynne,2,0,0,0,0
,Metropolitan Counties,,6,0,1,0,1
,,Craighead,0,0,1,0,0
,,Faulkner,1,0,0,0,0
,,Pulaski,4,0,0,0,1
,,Washington,1,0,0,0,0
,Nonmetropolitan Counties,,3,1,3,0,0
,,Arkansas,2,0,0,0,0
,,Conway,0,0,1,0,0
,,Fulton,0,0,1,0,0
,,Polk,0,1,0,0,0
,,Yell,1,0,1,0,0
CALIFORNIA,Total,,453,194,222,142,4
,Cities,,374,172,187,122,4
,,Agoura Hills,1,2,0,0,0
,,Albany,0,1,1,0,0
,,Alhambra,4,0,1,0,0
,,Anaheim,0,0,1,0,0
,,Antioch,1,0,1,0,0
,,Arcata,0,0,1,0,0
,,Atherton,0,1,0,1,0
,,Avalon,0,0,1,0,0
,,Azusa,2,0,0,0,0
,,Bakersfield,1,0,0,1,0
,,Bellflower,1,1,0,0,0
,,Belmont,1,0,1,0,0
,,Benicia,1,0,0,0,0
,,Berkeley,0,0,0,1,0
,,Beverly Hills,2,0,0,0,0
,,Blythe,0,1,0,0,0
,,Brawley,0,0,1,0,0
,,Brentwood,1,0,0,0,0
,,Burbank,1,0,0,1,0
,,Camarillo,0,1,0,0,0
,,Campbell,1,2,1,0,0
,,Carpinteria,0,0,0,1,0
,,Carson,0,0,0,2,0
,,Cathedral City,0,1,0,0,0
,,Cerritos,1,0,0,0,0
,,Chico,1,0,0,0,0
,,Chowchilla,0,0,0,1,0
,,Chula Vista,1,2,0,2,0
,,Citrus Heights,1,0,0,1,0
,,City of Angels,1,1,0,1,0
,,Clearlake,1,0,0,0,0
,,Commerce,0,0,0,1,0
,,Compton,2,0,0,0,0
,,Concord,2,0,2,0,0
,,Corona,1,1,2,1,0
,,Coronado,0,1,0,0,0
,,Costa Mesa,0,0,1,1,0
,,Covina,0,1,1,0,0
,,Cudahy,0,0,0,1,0
,,Culver City,0,1,0,0,0
,,Cupertino,0,2,0,0,0
,,Cypress,1,2,0,0,0
,,Daly City,2,0,0,0,0
,,Dana Point,2,0,0,0,0
,,Davis,0,0,1,1,1
,,Delano,1,0,0,0,0
,,Del Mar,1,0,0,0,0
,,Downey,2,2,0,0,0
,,Duarte,2,0,0,0,0
,,Dublin,2,0,0,0,0
,,El Cerrito,0,0,0,1,0
,,Elk Grove,0,2,0,1,0
,,El Monte,4,0,0,0,0
,,Escalon,0,1,0,0,0
,,Escondido,2,1,0,1,0
,,Eureka,4,0,1,0,0
,,Fairfield,1,0,0,0,0
,,Farmersville,0,0,0,1,0
,,Fontana,0,0,1,0,0
,,Fountain Valley,1,1,1,0,0
,,Fresno,1,0,4,1,0
,,Fullerton,6,0,0,1,0
,,Galt,1,0,1,0,0
,,Gardena,0,0,0,1,0
,,Garden Grove,4,1,0,1,0
,,Gilroy,1,0,0,0,0
,,Glendale,0,0,1,1,0
,,Gridley,1,0,0,0,0
,,Hawaiian Gardens,3,0,0,0,0
,,Hawthorne,1,0,0,1,0
,,Healdsburg,0,0,0,1,0
,,Hemet,2,0,0,0,0
,,Hermosa Beach,0,0,1,0,0
,,Hesperia,0,0,2,0,0
,,Hollister,1,1,0,0,0
,,Huntington Beach,2,0,0,2,0
,,Huntington Park,1,0,0,0,0
,,Inglewood,2,0,1,0,0
,,Ione,0,0,1,0,0
,,Irvine,2,0,0,1,0
,,Laguna Beach,1,0,1,0,0
,,La Habra,1,1,0,0,0
,,Lake Elsinore,1,0,0,0,0
,,Lake Forest,1,0,0,0,0
,,Lakewood,2,0,1,0,0
,,La Mesa,0,1,0,0,0
,,Lancaster,6,0,2,2,0
,,La Quinta,3,0,0,0,0
,,La Verne,1,0,1,0,0
,,Lawndale,1,0,0,0,0
,,Lemon Grove,2,0,1,1,0
,,Livermore,0,0,1,0,0
,,Lodi,3,0,0,0,0
,,Lompoc,0,0,0,1,0
,,Long Beach,0,2,7,0,0
