state,total,place,race,religion,sexual_orientation,ethnicity,disability
ALABAMA,Total,,5,0,1,0,0
,Cities,,4,0,1,0,0
,,Auburn,1,0,0,0,0
,,Hoover,1,0,1,0,0
,,Newton,1,0,0,0,0
,,Tuscaloosa,1,0,0,0,0
,Metropolitan Counties,,1,0,0,0,0
,,Tuscaloosa,1,0,0,0,0
ALASKA,Total,,5,0,2,0,1
,Cities,,5,0,2,0,1
,,Anchorage,5,0,2,0,1
ARIZONA,Total,,82,22,27,29,1
,Cities,,73,17,26,24,0
,,Apache Junction,0,1,0,0,0
,,Buckeye,0,0,1,1,0
,,Chandler,3,0,1,0,0
,,Chino Valley,1,0,0,0,0
,,Flagstaff,1,0,0,0,0
,,Gilbert,4,3,0,0,0
,,Glendale,8,2,0,2,0
,,Kingman,5,0,0,1,0
,,Marana,2,0,0,0,0
,,Mesa,4,0,2,3,0
,,Paradise Valley,1,0,0,0,0
,,Peoria,1,1,0,1,0
,,Phoenix,38,9,20,13,0
,,Prescott Valley,1,0,0,0,0
,,Quartzsite,1,0,0,0,0
,,Sedona,0,1,0,0,0
,,Show Low,0,0,0,1,0
,,Sierra Vista,1,0,0,0,0
,,Tempe,2,0,1,2,0
,,Yuma,0,0,1,0,0
,Universities and Colleges,,4,2,1,3,1
,,"Arizona State University, Main Campus",0,1,0,0,1
,,Northern Arizona University,1,0,1,0,0
,,University of Arizona,3,1,0,3,0
,Metropolitan Counties,,4,3,0,2,0
,,Maricopa,2,0,0,0,0
,,Pima,2,3,0,2,0
,Nonmetropolitan Counties,,1,0,0,0,0
,,Navajo,1,0,0,0,0
ARKANSAS,Total,,21,1,8,3,0
,Cities,,17,0,8,1,0
,,Benton,0,0,1,0,0
,,Cherokee Village,0,0,1,0,0
,,Crossett,1,0,0,0,0
,,De Witt,1,0,0,0,0
,,El Dorado,0,0,1,0,0
,,Fort Smith,0,0,2,0,0
,,Green Forest,2,0,0,0,0
,,Hot Springs,1,0,0,0,0
,,Jacksonville,2,0,0,1,0
,,Jonesboro,1,0,0,0,0
,,Lewisville,1,0,0,0,0
,,Little Rock,1,0,0,0,0
,,Marion,0,0,1,0,0
,,Maumelle,1,0,0,0,0
,,Morrilton,1,0,0,0,0
,,North Little Rock,1,0,0,0,0
,,Paragould,0,0,1,0,0
,,Sherwood,1,0,1,0,0
,,Warren,1,0,0,0,0
,,West Memphis,2,0,0,0,0
,Universities and Colleges,,1,0,0,0,0
,,University of Central Arkansas,1,0,0,0,0
,Metropolitan Counties,,0,1,0,1,0
,,Benton,0,0,0,1,0
,,Pulaski,0,1,0,0,0
,Nonmetropolitan Counties,,3,0,0,1,0
,,Fulton,1,0,0,0,0
,,Montgomery,0,0,0,1,0
,,Pope,1,0,0,0,0
,,Scott,1,0,0,0,0
CALIFORNIA,Total,,674,204,263,256,3
,Cities,,566,166,226,225,3
,,Agoura Hills,0,2,0,1,0
,,Alameda,1,0,0,0,0
,,Aliso Viejo,0,1,0,0,0
,,Anaheim,1,0,1,2,0
,,Antioch,1,0,0,0,1
,,Atascadero,0,1,0,0,0
,,Atwater,1,1,0,0,0
,,Azusa,1,0,0,0,0
,,Bakersfield,1,1,2,0,0
,,Belmont,1,0,0,2,0
,,Benicia,1,0,0,0,0
,,Berkeley,1,0,1,1,0
,,Beverly Hills,0,5,0,0,0
,,Bishop,0,0,0,1,0
,,Brea,1,0,0,0,0
,,Brentwood,1,1,0,0,0
,,Buena Park,0,0,0,1,0
,,Burbank,3,0,1,3,1
,,Calabasas,0,1,1,0,0
,,Calexico,0,0,1,0,0
,,Camarillo,2,0,0,1,0
,,Campbell,0,0,1,0,0
,,Carson,1,0,0,0,0
,,Ceres,1,0,0,1,0
,,Cerritos,1,0,0,0,0
,,Chico,1,0,2,2,0
,,Chino,2,0,1,1,0
,,Chula Vista,0,0,2,0,0
,,City of Angels,0,1,1,0,0
,,Claremont,2,0,0,0,0
,,Clayton,1,0,0,0,0
,,Clearlake,3,0,0,0,0
,,Clovis,5,0,0,2,0
,,Compton,5,0,0,3,0
,,Concord,2,3,1,1,0
,,Corona,0,0,1,0,0
,,Coronado,0,0,1,0,0
,,Covina,2,0,0,0,0
,,Cypress,2,0,0,0,0
,,Daly City,1,0,1,0,0
,,Dana Point,0,0,0,1,0
,,Danville,0,0,0,1,0
,,Davis,7,3,0,1,0
,,Del Mar,0,1,0,0,0
,,Desert Hot Springs,1,0,0,1,0
,,Diamond Bar,3,0,1,0,0
,,Downey,2,0,1,1,0
,,Duarte,3,0,0,1,0
,,Dublin,1,0,0,0,0
,,El Cajon,1,0,0,0,0
,,Elk Grove,2,0,1,0,0
,,El Monte,9,1,1,0,0
,,El Segundo,1,0,0,0,0
,,Encinitas,0,0,1,0,0
,,Escondido,2,0,0,0,0
,,Eureka,1,0,0,0,0
,,Fillmore,1,1,0,0,0
,,Folsom,1,0,0,0,0
,,Fort Bragg,1,0,0,13,0
,,Fountain Valley,2,0,0,0,0
,,Fremont,1,1,0,2,0
,,Fresno,7,1,1,0,0
,,Fullerton,2,0,0,0,0
,,Galt,4,0,0,0,0
,,Gardena,1,0,0,0,0
,,Garden Grove,2,0,3,4,0
,,Gilroy,1,0,0,0,0
,,Glendale,3,1,0,4,0
,,Glendora,1,0,0,0,0
,,Gonzales,0,0,1,0,0
,,Grass Valley,1,0,0,0,0
,,Hawaiian Gardens,2,0,1,0,0
,,Hawthorne,1,0,2,0,0
,,Hemet,5,0,1,2,0
,,Hercules,1,0,0,0,0
,,Hesperia,1,0,0,1,0
,,Huntington Beach,4,3,2,0,0
,,Huntington Park,1,0,0,1,0
,,Inglewood,1,0,0,0,0
,,Irvine,0,2,0,0,0
,,La Canada Flintridge,2,2,0,0,0
,,Lafayette,1,0,0,0,0
,,Laguna Hills,1,0,0,0,0
,,La Habra,3,0,0,0,0
,,Lake Elsinore,1,0,0,2,0
,,Lakewood,3,1,0,0,0
,,La Mesa,0,1,0,0,0
,,La Mirada,1,0,0,1,0
,,Lancaster,11,0,2,1,0
,,La Puente,1,0,0,0,0
,,La Quinta,0,0,2,0,0
,,La Verne,1,0,0,0,0
,,Lemon Grove,1,0,0,0,0
,,Lemoore,0,0,1,0,0
,,Livermore,1,1,0,0,0
,,Lodi,0,1,0,1,0
,,Lomita,1,0,0,0,0
,,Long Beach,6,3,3,1,0
,,Los Alamitos,2,3,0,0,0
,,Los Angeles,132,50,43,54,0
,,Los Gatos,0,2,0,0,0
,,Lynwood,1,0,0,0,0
,,Malibu,1,0,0,0,0
,,Manhattan Beach,1,2,1,0,0
,,Manteca,2,0,0,0,0
,,Marina,0,0,1,2,0
,,Marysville,1,0,0,0,0
,,Menlo Park,1,1,0,0,0
,,Millbrae,0,0,0,1,0
,,Milpitas,0,0,1,1,0
,,Modesto,4,0,4,2,0
,,Montclair,0,0,0,1,0
,,Monterey,0,0,1,0,0
,,Monterey Park,1,0,0,0,0
,,Moorpark,0,0,1,1,0
,,Moreno Valley,4,0,0,1,0
,,Mountain View,0,0,0,1,0
,,Murrieta,0,0,1,0,0
,,Napa,1,0,1,0,0
,,National City,1,0,0,1,0
,,Newport Beach,3,0,1,3,0
,,Norwalk,5,0,1,0,0
,,Novato,2,0,0,2,0
,,Oakdale,1,0,0,0,0
,,Oakland,5,1,5,4,0
,,Oakley,2,0,0,0,0
,,Oceanside,10,4,3,3,0
,,Ontario,1,1,0,0,0
,,Orange,1,1,2,0,0
,,Oxnard,1,0,1,1,0
,,Pacifica,1,0,2,3,0
,,Palmdale,8,2,1,0,0
,,Palm Desert,0,3,0,1,0
,,Palm Springs,4,0,7,0,0
,,Palo Alto,0,2,1,0,0
,,Paradise,1,0,0,0,0
,,Paramount,1,0,0,0,0
,,Parlier,0,1,0,0,0
,,Pasadena,7,1,3,6,0
,,Paso Robles,1,1,0,0,0
,,Perris,2,0,0,0,0
,,Petaluma,1,0,0,2,0
,,Pico Rivera,1,0,0,0,0
,,Pinole,2,0,0,0,0
,,Placerville,0,0,1,2,0
,,Pleasant Hill,1,0,0,1,0
,,Pleasanton,1,0,0,0,0
,,Pomona,3,0,0,2,0
,,Poway,1,0,1,0,0
,,Rancho Mirage,0,1,0,0,0
,,Rancho Santa Margarita,1,0,0,0,0
,,Red Bluff,0,0,1,0,0
,,Redding,9,0,5,2,1
,,Redlands,1,0,0,0,0
,,Redondo Beach,4,0,0,1,0
,,Redwood City,2,0,0,0,0
,,Rialto,0,1,0,1,0
,,Richmond,3,0,2,0,0
,,Ridgecrest,0,1,0,0,0
,,Riverside,16,0,2,2,0
,,Rocklin,1,0,0,0,0
,,Rohnert Park,0,1,0,0,0
